ID,LAT,LON,ALT,LOCATION,DATE,PHOTO
1,-1.261461,36.862808,5311,Mau Mau Road,25/04/2025,https://drive.google.com/uc?id=1w2uE1BlQJxXpRrLw8TuxYSbyqL2H93TK
2,-1.26199,36.862606,5331,Mashimoni,25/04/2025,https://drive.google.com/uc?id=1wAZ3HVMwGi1DHe2W3PYytkLFzTY2672F
3,-1.261913,36.862593,5329,Mashimoni,25/04/2025,https://drive.google.com/uc?id=1wBn0qhpNhO_bSKHUa_F3fWGp9MPqhtXZ
4,-1.261953,36.86263,5331,Mau Mau Road,25/04/2025,https://drive.google.com/uc?id=1wHoa7FxdsgjjMakaWyEVbzHoSx7jBXgK
5,-1.261205,36.861739,5294,Mashimoni river,25/04/2025,https://drive.google.com/uc?id=1wINiyq7UwF9jkR52CkWffbxIlyW4h6gy
6,-1.261,36.862267,5295,Mashimoni river,25/04/2025,https://drive.google.com/uc?id=1wLN5y3SdYnos5RC_70ipdhN0h86yxLWC
7,-1.261086,36.862259,5295,,,https://drive.google.com/uc?id=1wLa1qmzZwI0DPOKuvl2KZ_ldQGj5w6B0
8,-1.261,36.862267,5295,,25/04/2025,https://drive.google.com/uc?id=1wLx4enVydCFecnhTUHqy51p-OAc-svyA
9,-1.261017,36.861991,5290,Mashimoni river,25/04/2025,https://drive.google.com/uc?id=1wNQhTO6Vj8UECQF0imSOASgsZFEsYXIs
10,-1.26202,36.862586,5331,Mau Mau Road,,https://drive.google.com/uc?id=1wO1VhNO_vZ1SUxSa9P1zg-UtbTzMUmop
11,-1.256227,36.864627,5289,Mathare North Road,24/04/2025,https://drive.google.com/uc?id=1wRH3zTRxmnEELwWET0SZ0cMbVhvMA1ij
12,-1.256183,36.867847,5269,Mathare North Road,23/04/2025,https://drive.google.com/uc?id=1wSK13gzguVSxlT5t1GUnzbTBwsjOkWy3
13,-1.2565,36.868063,5269,matopeni village,23/04/2025,
